==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-wjgxlzslq6 ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-wjgxlzslq6 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-wjgxlzslq6 ====
2021-06-14 14:50:17.512544 W | etcdserver: cannot get the version of member f987123f2b9a9bea (Get http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-06-14 14:50:18.333604 W | rafthttp: health check for peer f987123f2b9a9bea could not connect: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-14 14:50:21.520645 W | etcdserver: failed to reach the peerURL(http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380) of member f987123f2b9a9bea (Get http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-06-14 14:50:21.520685 W | etcdserver: cannot get the version of member f987123f2b9a9bea (Get http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-06-14 14:50:23.333825 W | rafthttp: health check for peer f987123f2b9a9bea could not connect: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-14 14:50:24.228920 I | rafthttp: peer f987123f2b9a9bea became active
2021-06-14 14:50:24.230309 I | rafthttp: established a TCP streaming connection with peer f987123f2b9a9bea (stream Message writer)
2021-06-14 14:50:24.230741 I | rafthttp: established a TCP streaming connection with peer f987123f2b9a9bea (stream MsgApp v2 writer)
2021-06-14 14:50:24.258678 I | rafthttp: established a TCP streaming connection with peer f987123f2b9a9bea (stream MsgApp v2 reader)
2021-06-14 14:50:24.258962 I | rafthttp: established a TCP streaming connection with peer f987123f2b9a9bea (stream Message reader)
==== END logs for container etcd of pod wcm-system/wcm-etcd-cluster-wjgxlzslq6 ====
